排名,标题,链接,热度,电影类型,演员,描述,封面链接
13,芭比,https://www.baidu.com/s?wd=%E8%8A%AD%E6%AF%94+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,63625,喜剧、剧情,玛格特·罗比、瑞恩·高斯林,讲述了一个住在芭比王国的娃娃因为“不够完美”而被驱逐，在现实世界展开冒险的故事。  查看更多>,"https://gips2.baidu.com/it/u=3444549717,1720715042&fm=3028&app=3028&f=PNG&fmt=auto&q=75&size=f400_533?x-bce-process=image/resize,m_fill,w_160,h_214"
14,再见，士兵,https://www.baidu.com/s?wd=%E5%86%8D%E8%A7%81%EF%BC%8C%E5%A3%AB%E5%85%B5+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,60997,剧情,金瀚、宁桓宇,《再见，士兵》又名风中的迷彩，是由肖洋监制、胡小毅编剧执导，金瀚、宁桓宇、李春嫒、贺宇强等人主演的退役军人题材院线电影。该片围绕三名90后退役军人为了兑现曾在军队约定的承诺，相互救赎而重组乐队的故事。  查看更多>,"https://fyb-2.cdn.bcebos.com/hotboard_image/c633d9af35ce55911b3e10b68d35b4ab?x-bce-process=image/resize,m_fill,w_160,h_214"
15,749局,https://www.baidu.com/s?wd=749%E5%B1%80+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,59149,动作,王俊凯、苗苗,《749局》是由北京京西文化旅游股份有限公司出品的动作冒险片， 由陆川编剧并执导，王俊凯、苗苗、郑恺、任敏、辛柏青领衔主演。影片灵感源于导演陆川军校毕业后在749部队工作的一段经历。故事发生在2030年，讲述了749局第三小队战士们应对巨大灾难时展现的少年成长故事。  查看更多>,"https://gips3.baidu.com/it/u=245967712,2634233648&fm=3028&app=3028&f=JPEG&fmt=auto&q=75&size=f200_266?x-bce-process=image/resize,m_fill,w_160,h_214"
16,危机航线,https://www.baidu.com/s?wd=%E5%8D%B1%E6%9C%BA%E8%88%AA%E7%BA%BF+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,51160,犯罪、动作,刘德华、张子枫,"国际安保专家高皓军(刘德华 饰)搭乘有“空中巨无霸”之称的特大豪华客机A380首航,途中遭遇暴徒劫机。无差别射杀让豪华机舱瞬间变成密闭炼狱,800余名乘客危在旦夕。高皓军挺身而出与暴徒周旋,他不知道,藏在人质中与他里应外合的“小帮手”,正是自己已经失明的女儿小军(张子枫 饰)数千米高空之上,这对父女将怎样化解一场惊天危机?  查看更多>","https://fyb-2.cdn.bcebos.com/hotboard_image/717f56cfe1a47c20a36f1ef2f5441ef1?x-bce-process=image/resize,m_fill,w_160,h_214"
17,星愿,https://www.baidu.com/s?wd=%E6%98%9F%E6%84%BF+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,48060,动画,阿丽亚娜·德博斯、艾伦·图代克,在位于伊比利亚半岛外有一片梦幻之地，17岁的亚莎（阿丽亚娜·德博斯 Ariana DeBose 配音）和她的宠物山羊生活在被称为愿望王国的罗萨斯，人们从四面八方来到这里，向一位神奇的国王麦尼菲科（克里斯·派恩 Chris Pine 配音）表达他们的愿望，后者承诺有一天会满足他们最深的愿望，而只有他才能决定哪些愿望将在何时实现。机敏的的理想主义者阿莎许下了一个尤其强大的愿望，得到了宇宙力量的回应——一个被称为星星的充满无限能量的小球。阿莎和星星一同面临最强大的敌人，推翻麦尼菲科的统治以拯救她的社区，并证实当一个勇敢之人的意志与星星的魔力相结合后，奇妙的事情就会发生。  查看更多>,"https://gips2.baidu.com/it/u=118087989,3024489527&fm=3028&app=3028&f=JPEG&fmt=auto&q=75&size=f200_266?x-bce-process=image/resize,m_fill,w_160,h_214"
18,老师，别哭,https://www.baidu.com/s?wd=%E8%80%81%E5%B8%88%EF%BC%8C%E5%88%AB%E5%93%AD+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,46578,剧情,董钒、王浩宇,《老师，别哭》是2020中国国际儿童电影展开幕电影，由珠江电影集团有限公司出品，董钒、王浩宇、陈锐、孙看担任主演。该片讲述一位女大学生到贫困乡村支教，与五个孩子间发生的感人故事。  查看更多>,"https://fyb-2.cdn.bcebos.com/hotboard_image/65075a4fe4762455a85737650fa035b8?x-bce-process=image/resize,m_fill,w_160,h_214"
19,鬼吹灯,https://www.baidu.com/s?wd=%E9%AC%BC%E5%90%B9%E7%81%AF+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,45225,剧情、动作,陈坤、黄渤,,"https://fyb-2.cdn.bcebos.com/hotboard_image/480121cdd48396d4ad001534adccc1bb?x-bce-process=image/resize,m_fill,w_160,h_214"
20,猫和老鼠,https://www.baidu.com/s?wd=%E7%8C%AB%E5%92%8C%E8%80%81%E9%BC%A0+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,45173,动画,郝祥海、杨天翔,老鼠杰瑞住在新英格兰一栋大房子的墙里，跟一对老夫妇和睦相处。但他们独特、欢乐的关系没能永存：老夫妇去世，房子被卖给了一对年轻夫妇。杰瑞想把他俩吓走，保护自己的家，年轻夫妇于是收养了一只流浪猫汤姆，双方开始房屋争夺大战。而在互相作对的过程中，汤姆和杰瑞都发现自己越来越喜欢上这家人……  查看更多>,"https://fyb-2.cdn.bcebos.com/hotboard_image/e58bef61c8bb6fe1bafb5ca4ca3a7a0c?x-bce-process=image/resize,m_fill,w_160,h_214"
21,雷霆特工队,https://www.baidu.com/s?wd=%E9%9B%B7%E9%9C%86%E7%89%B9%E5%B7%A5%E9%98%9F+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,40988,剧情、动作,哈里森·福特,"据Deadline,漫威《雷霆特工队》电影运作中,定下杰克施莱尔(《无耻之徒》《风骚女子》《开玩笑》)担任导演,埃里克皮尔森(《黑寡妇》《雷神3》)编剧,尚未有演员签约。 该团队类似DC的《X特遣队》,讲述一群曾经担任反派的角色组队为政府执行任务,具体会有哪些人物还没定数,漫威正在与一些老员工商谈,计划明年夏季开机。 可能出现的成员有泽莫、叶莲娜、幽灵、模仿大师、憎恶、美国密探、冬兵、罗斯将军等。  查看更多>","https://fyb-2.cdn.bcebos.com/hotboard_image/8822be6a95751a19d97f33a2d282e7ef?x-bce-process=image/resize,m_fill,w_160,h_214"
22,幸运一击,https://www.baidu.com/s?wd=%E5%B9%B8%E8%BF%90%E4%B8%80%E5%87%BB+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,40350,剧情、爱情,璐·德·拉格、尼尔斯·施内德,影片是伍迪·艾伦的第50部电影长片，故事以当代巴黎为背景，围绕着两个年轻人之间的浪漫故事展开，他们是老友，步入婚姻殿堂后，却逐渐演变为对婚姻不忠，最终走向犯罪。  查看更多>,"https://fyb-2.cdn.bcebos.com/hotboard_image/f34e65dceebea43eb5ca8daf9c152413?x-bce-process=image/resize,m_fill,w_160,h_214"
23,莫妮卡,https://www.baidu.com/s?wd=%E8%8E%AB%E5%A6%AE%E5%8D%A1+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,38420,剧情,艾米莉·布朗宁、派翠西娅·克拉克森,《莫妮卡》是由安德烈·帕劳洛执导的电影。  查看更多>,"https://fyb-2.cdn.bcebos.com/hotboard_image/b12b1f4bb83050b08ce9f73aca1e645d?x-bce-process=image/resize,m_fill,w_160,h_214"
24,我的世界,https://www.baidu.com/s?wd=%E6%88%91%E7%9A%84%E4%B8%96%E7%95%8C+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,36845,动作,杰森·莫玛,"一个无名少女和她的冒险家伙伴们必须对抗邪恶的末影龙,后者正走在毁灭的道路上,威胁着要摧毁这个封闭的星球。 游戏可单人可多人,玩家在一个三维世界里用各种方块建造建筑物,透过像积木一样来对元素进行组合与拼凑,能制作出小木屋、城堡或城市。  查看更多>","https://fyb-2.cdn.bcebos.com/hotboard_image/91b83723868ce16ddb0f3862eab1a07c?x-bce-process=image/resize,m_fill,w_160,h_214"
25,救援,https://www.baidu.com/s?wd=%E6%95%91%E6%8F%B4+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,35775,剧情,胡丽叶塔·泽尔贝伯格、罗德里戈·德拉·塞尔纳,,"https://fyb-2.cdn.bcebos.com/hotboard_image/7b9d26ff29d008de6c91f6d1b6c2dff3?x-bce-process=image/resize,m_fill,w_160,h_214"
26,鹿鼎记,https://www.baidu.com/s?wd=%E9%B9%BF%E9%BC%8E%E8%AE%B0+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,35147,武侠,陈小春 / 马浚伟 / 刘乔方 / 梁小冰 / 徐濠萦 / 陈少霞 / 邝文珣 / 王伟 / 冯晓文 / 夏韶声 / 谷峰 / 鲍方,为人聪明圆滑的韦小宝（陈小春）因义气帮助“反清复明”组织天地会击退清兵后，稀里胡涂接受该组织命令潜入宫中做了未净身的假太监，准备伺机偷取藏有清朝秘密的四十二章经。偶然结识微服的康熙皇帝（马浚伟）后，两人成为莫逆之交。 　　宫廷之内，鳌拜欲篡位夺权，邪教组织神龙教将真正的太后软禁，并派人假扮起太后，目的也为伺机盗取四十二章经。韦小宝凭借聪明机智开始周旋于众人之间，一面帮着好兄弟康熙的忙，一面想着怎样为天地会做事。但在义和利之间取舍时，韦小宝没忘风流快活，先后有建宁、双儿、木剑平等七个女人投进他的怀抱，而她们吃起醋耍起泼来，也着实让他头疼不已。  查看更多>,"https://gips1.baidu.com/it/u=3327010918,1259071960&fm=3028&app=3028&f=JPEG&fmt=auto&q=75&size=f200_266?x-bce-process=image/resize,m_fill,w_160,h_214"
27,守护者,https://www.baidu.com/s?wd=%E5%AE%88%E6%8A%A4%E8%80%85+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,34750,惊悚,碧翁尼·梦露、阿塔·雅谷伯,,"https://fyb-2.cdn.bcebos.com/hotboard_image/02d91581ffb43c6dfe0197452804d5e6?x-bce-process=image/resize,m_fill,w_160,h_214"
28,茜茜,https://www.baidu.com/s?wd=%E8%8C%9C%E8%8C%9C+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,34689,爱情、恐怖,叶林·韩、露西·巴雷特,,"https://fyb-2.cdn.bcebos.com/hotboard_image/3d74e328eebb440da4c3eac693185a86?x-bce-process=image/resize,m_fill,w_160,h_214"
29,好运来,https://www.baidu.com/s?wd=%E5%A5%BD%E8%BF%90%E6%9D%A5+%E7%94%B5%E5%BD%B1&sa=fyb_movie_all_all&rsv_dl=fyb_movie_all_all,30769,搞笑,常远、乔杉,"四个看似“不靠谱”的年轻人,经营了一家专门替别人实现梦想的“好梦”公司。由于四个年轻人经常仗义出手帮助一些没有能力支付服务费的人,导致公司的经营每况愈下。在即将关门大吉之际,一个自称贾总的人如同神降,注资好梦公司成了大股东,并以CEO的名义带领着几个人继续拓展业务。从此,五人开始了助人实现梦想的特别项目,项目代号“好运来”  查看更多>","https://fyb-2.cdn.bcebos.com/hotboard_image/8fdffc3f4165bc2654c767c38d91e117?x-bce-process=image/resize,m_fill,w_160,h_214"
